نام ژنریک	کد ژنریک
IMIPENEM / CILASTATIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 250 mg/250 mg	2435
IMIPENEM / CILASTATIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 750 mg/750 mg	2436
METHADONE HYDROCHLORIDE SOLUTION ORAL 25 mg/5 mL 250 mL	2444
RITUXIMAB INJECTION PARENTERAL 10 mg/1mL 10 mL	2473
CYSTEAMINE (AS BITARTRATE) CAPSULE ORAL 50 mg	2476
CAPECITABINE TABLET ORAL 500 mg	2493
URSODEOXYCHOLIC ACID CAPSULE ORAL 300 mg	2497
SEVOFLURANE INHALANT RESPIRATORY 250 mL	2548
FOLLITROPIN ALFA INJECTION, POWDER, FOR SOLUTION PARENTERAL 75 [iU]	2570
INTERFERON BETA-1A INJECTION PARENTERAL 12000000 [iU] 0.5 mL	2666
INTERFERON BETA-1A INJECTION, POWDER, FOR SOLUTION PARENTERAL 6000000 [iU]	2667
HEMODIALYSIS CONCENTRATED II ACIDIC SOLUTION, CONCENTRATE HEMODIALYSIS 3710 meq/70 meq/35 meq/87.5 meq/70 g/122.5 meq/3902.5 meq/1L 4920 mL	7196
FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1.2 mg	2682
METHADONE HYDROCHLORIDE TABLET ORAL 20 mg	2705
METHADONE HYDROCHLORIDE TABLET ORAL 40 mg	2706
TRAMADOL HYDROCHLORIDE INJECTION PARENTERAL 50 mg/1mL 1 mL	2708
FLUTICASONE PROPIONATE INHALANT RESPIRATORY 125 ug/1{dose} 120 {Puff}	2711
BECLOMETHASONE DIPROPIONATE SPRAY NASAL 50 ug/1 {dose} 200 {Puff}	2844
ARTEMETHER / LUMEFANTRINE TABLET ORAL 20 mg/120 mg	2959
EXEMESTANE TABLET ORAL 25 mg	2962
ESTRADIOL (AS HEMIHYDRATE) TABLET VAGINAL 10 ug	3005
MEROPENEM INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg	3283
NEVIRAPINE TABLET ORAL 200 mg	3375
BUPRENORPHINE (AS HYDROCHLORIDE) TABLET SUBLINGUAL 2 mg	3799
BUPRENORPHINE (AS HYDROCHLORIDE) TABLET SUBLINGUAL 8 mg	3800
PIPERACILLIN (AS SODIUM) / TAZOBACTAM (AS SODIUM) INJECTION, POWDER, FOR SOLUTION PARENTERAL 4 g/0.5 g	3894
IRON (AS SUCROSE) INJECTION INTRAVENOUS 20 mg/1mL 5 mL	4003
ETANERCEPT INJECTION, POWDER, FOR SOLUTION PARENTERAL 25 mg	4008
SIROLIMUS TABLET ORAL 1 mg	4022
GADOTERATE MEGLUMINE INJECTION PARENTERAL 376.9 mg/1mL 15 mL	4025
TIOTROPIUM (AS BROMIDE) CAPSULE RESPIRATORY 18 ug	4189
BOVACTANT INJECTION ENDOTRACHEAL 50 mg/1.2mL	4254
EPOETIN INJECTION PARENTERAL 4000 [iU]/1mL 1 mL	4486
BECLOMETHASONE DIPROPIONATE AEROSOL, METERED RESPIRATORY 250 ug/1{dose} 200 {Puff}	4684
VALGANCICLOVIR (AS HYDROCHLORIDE) TABLET ORAL 450 mg	4768
SALMETEROL (AS XINAFOATE) / FLUTICASONE PROPIONATE AEROSOL, METERED RESPIRATORY 25 ug/50 ug/1{dose} 120 {dose}	4793
SALMETEROL (AS XINAFOATE) / FLUTICASONE PROPIONATE AEROSOL, METERED RESPIRATORY 25 ug/125 ug/1{dose} 120 {dose}	4795
IMATINIB (AS MESYLATE) TABLET ORAL 100 mg	4840
SALMETEROL (AS XINAFOATE) / FLUTICASONE PROPIONATE AEROSOL, METERED RESPIRATORY 25 ug/250 ug/1{dose} 120 {dose}	4927
EPOETIN INJECTION PARENTERAL 10000 [iU]/1mL 1 mL	4965
VINORELBINE (AS TARTRATE) INJECTION, SOLUTION, CONCENTRATE PARENTERAL 10 mg/1mL 5 mL	5006
ZIDOVUDINE CAPSULE ORAL 300 mg	5078
FILGRASTIM INJECTION PARENTERAL 600 ug/1mL 0.5 mL	5152
TERBINAFINE SPRAY TOPICAL 1 % 30 mL	5188
PIMECROLIMUS CREAM TOPICAL 1 % 30 g	5421
OCTREOTIDE (AS ACETATE) INJECTION, POWDER, FOR SUSPENSION, EXTENDED RELEASE PARENTERAL 30 mg	5427
OSELTAMIVIR (AS PHOSPHATE) CAPSULE ORAL 75 mg	5437
DYDROGESTERONE TABLET ORAL 10 mg	5596
MEROPENEM INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g	5629
PIPERACILLIN (AS SODIUM) / TAZOBACTAM (AS SODIUM) INJECTION, POWDER, FOR SOLUTION PARENTERAL 3 g/0.375 g	5702
FORMOTEROL FUMARATE CAPSULE RESPIRATORY 12 ug	5760
TACROLIMUS CAPSULE ORAL 0.5 mg	5804
INFLIXIMAB INJECTION, POWDER, FOR SOLUTION PARENTERAL 100 mg	5831
DOXORUBICIN HYDROCHLORIDE INJECTION, SOLUTION, CONCENTRATE PARENTERAL 2 mg/1mL 10 mL	5845
ZOLEDRONIC ACID INJECTION, POWDER, FOR SOLUTION PARENTERAL 4 mg	5883
TEMOZOLOMIDE CAPSULE ORAL 100 mg	5949
TEMOZOLOMIDE CAPSULE ORAL 250 mg	5950
PEMETREXED (AS DISODIUM) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 mg	6119
ATOMOXETINE HYDROCHLORIDE CAPSULE ORAL 40 mg	6134
ATOMOXETINE HYDROCHLORIDE CAPSULE ORAL 18 mg	6135
ATOMOXETINE HYDROCHLORIDE CAPSULE ORAL 25 mg	6136
ERLOTINIB (AS HYDROCHLORIDE) TABLET ORAL 150 mg	6154
VALPROATE SODIUM SYRUP ORAL 300 mg/5mL 250 mL	8601
PEGINTERFERON ALFA-2B INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 80 ug	6243
PEGINTERFERON ALFA-2B INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 100 ug	6244
PEGINTERFERON ALFA-2B INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 120 ug	6245
PEGINTERFERON ALFA-2B INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 150 ug	6246
NITISINONE CAPSULE ORAL 10 mg	6340
NITISINONE CAPSULE ORAL 2 mg	6343
NITISINONE CAPSULE ORAL 5 mg	6346
VORICONAZOLE TABLET ORAL 200 mg	6382
VORICONAZOLE INJECTION, POWDER, FOR SOLUTION PARENTERAL 200 mg	6383
METHADONE HYDROCHLORIDE SOLUTION ORAL 5 mg/5 mL 250 mL	6394
RINGERS INJECTION, SOLUTION INTRAVENOUS 147 meq/4.5 meq/4 meq/156 meq/1L 250 mL	6423
TEMOZOLOMIDE CAPSULE ORAL 20 mg	6532
MODAFINIL TABLET ORAL 100 mg	6579
BUSULFAN INJECTION PARENTERAL 6 mg/1mL 10 mL	6700
CASPOFUNGIN ACETATE INJECTION, POWDER, FOR SOLUTION PARENTERAL 50 mg	6757
CASPOFUNGIN ACETATE INJECTION, POWDER, FOR SOLUTION PARENTERAL 70 mg	6758
BICALUTAMIDE TABLET ORAL 50 mg	6765
GANIRELIX (AS ACETATE) INJECTION PARENTERAL 500 ug/1mL 0.5 mL	6783
ADEFOVIR DIPIVOXIL TABLET ORAL 10 mg	6853
ALBUMIN (HUMAN) INJECTION, SOLUTION PARENTERAL 20 % 100 mL	6888
AMPICILLIN / SULBACTAM INJECTION, POWDER, FOR SOLUTION PARENTERAL 2 g/1 g	6938
AMPICILLIN / SULBACTAM INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g/0.5 g	6939
OXALIPLATIN INJECTION, SOLUTION, CONCENTRATE PARENTERAL 5 mg/1mL 10 mL	7041
BORTEZOMIB INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 3.5 mg	7088
HEMODIALYSIS CONCENTRATED I SOLUTION, CONCENTRATE INTRAVENOUS 4725 meq/35 meq/35 meq/87.5 meq/3657 meq/1225 meq/70 g/1000 mL 4920 mL	7197
HEMODIALYSIS CONCENTRATED II SOLUTION, CONCENTRATE INTRAVENOUS 4725 meq/35 meq/70 meq/87.5 meq/3692.5 meq/1225 meq/70 g/1000 mL 4920 mL	7198
ATOMOXETINE HYDROCHLORIDE CAPSULE ORAL 60 mg	7287
INSULIN GLARGINE INJECTION PARENTERAL 100 [iU]/1mL 3 mL	7338
TEMOZOLOMIDE CAPSULE ORAL 5 mg	7384
EPTIFIBATIDE INJECTION, SOLUTION PARENTERAL 0.75 mg/1mL 100 mL	7469
EPTIFIBATIDE INJECTION, SOLUTION PARENTERAL 2 mg/1mL 10 mL	7470
HEMODIALYSIS CONCENTRATED III SOLUTION, CONCENTRATE HEMODIALYSIS 1225 meq/70 g/3745 meq/87.5 meq/105 meq/35 meq/4725 meq 5 L	7543
SODIUM BICARBONATE INJECTION PARENTERAL 8.4 % 50 mL	7601
ANAGRELIDE HYDROCHLORIDE CAPSULE ORAL 500 ug	7659
BOSENTAN TABLET ORAL 125 mg	7848
SUCCIMER CAPSULE ORAL 200 mg	7913
CINACALCET (AS HYDROCHLORIDE) TABLET ORAL 30 mg	8066
MISOPROSTOL TABLET ORAL 200 ug	8095
VINORELBINE (AS TARTRATE) CAPSULE, LIQUID FILLED ORAL 30 mg	8133
BUDESONIDE SPRAY NASAL 64 ug/1{dose} 120 {Puff}	8209
LINEZOLID TABLET ORAL 600 mg	8300
ATOMOXETINE HYDROCHLORIDE CAPSULE ORAL 10 mg	8394
VALPROATE SODIUM INJECTION, POWDER, FOR SOLUTION PARENTERAL 400 mg	8396
SORAFENIB (AS TOSYLATE) TABLET ORAL 200 mg	8448
PORACTANT ALFA INJECTION ENDOTRACHEAL 80 mg/1mL 3 mL	8501
MODAFINIL TABLET ORAL 200 mg	8504
FORMOTEROL FUMARATE SPRAY, METERED RESPIRATORY 4.5 ug/1{Puff} 100 {Puff}	8813
MOMETASONE FUROATE SPRAY, SUSPENSION NASAL 0.05 % 15 mL	22333
TRIPTORELIN (AS ACETATE) INJECTION PARENTERAL 95.6 ug	15666
IODIXANOL INJECTION PARENTERAL 320 mg/1mL 20 mL	9399
METHOTREXATE SODIUM INJECTION PARENTERAL 2.5 mg/1mL 2 mL	9431
CALCIUM FOLINATE INJECTION PARENTERAL 10 mg/1mL 3 mL	736
PROTHROMBIN COMPLEX (CONCENTRATED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]	9576
VORICONAZOLE TABLET ORAL 50 mg	9604
MISOPROSTOL TABLET ORAL 100 ug	9709
TEICOPLANIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 200 mg	9747
MESALAZINE TABLET, DELAYED RELEASE ORAL 800 mg	9916
IOPAMIDOL INJECTION PARENTERAL 300 mg/1mL 100 mL	9941
IOPAMIDOL INJECTION PARENTERAL 370 mg/1mL 100 mL	9942
EFAVIRENZ TABLET ORAL 600 mg	9946
EFAVIRENZ CAPSULE ORAL 50 mg	9947
EFAVIRENZ CAPSULE ORAL 100 mg	9948
EFAVIRENZ CAPSULE ORAL 200 mg	9949
EFAVIRENZ TABLET ORAL 200 mg	10016
WARFARIN SODIUM TABLET ORAL 3 mg	10097
SUFENTANIL (AS CITRATE) INJECTION PARENTERAL 5 ug/1mL 2 mL	10214
SUFENTANIL (AS CITRATE) INJECTION PARENTERAL 50 ug/1mL	21744
EPINEPHRINE INJECTION PARENTERAL 0.1 mg/1mL 10 mL	10484
TEICOPLANIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 400 mg	10488
OXYCODONE HYDROCHLORIDE TABLET ORAL 5 mg	10635
GLATIRAMER ACETATE INJECTION, SOLUTION PARENTERAL 20 mg/1mL	10683
LUTROPIN ALFA INJECTION, POWDER, FOR SOLUTION PARENTERAL 75 [iU]	10786
FORMOTEROL FUMARATE AEROSOL, METERED RESPIRATORY 12 ug/1{dose} 100 {Puff}	11114
BUPRENORPHINE / NALOXONE TABLET SUBLINGUAL 2 mg/0.5 mg	11147
BUPRENORPHINE / NALOXONE TABLET SUBLINGUAL 8 mg/2 mg	11149
VALPROATE SODIUM INJECTION PARENTERAL 100 mg/1mL 3 mL	11367
PETHIDINE HYDROCHLORIDE INJECTION PARENTERAL 25 mg/1mL 1 mL	11397
CHORIOGONADOTROPIN ALFA INJECTION PARENTERAL 500 ug/1mL 0.5 mL	11405
ALTEPLASE INJECTION, POWDER, FOR SOLUTION PARENTERAL 10 mg	11407
TERIPARATIDE INJECTION PARENTERAL 250 ug/1mL 2.4 mL	11464
ALBUMIN (HUMAN) INJECTION, SOLUTION PARENTERAL 5 % 250 mL	11504
ACETYLCYSTEINE INJECTION PARENTERAL 200 mg/1mL 25 mL	11538
MYCOPHENOLIC ACID TABLET, DELAYED RELEASE ORAL 180 mg	11606
MYCOPHENOLIC ACID TABLET, DELAYED RELEASE ORAL 360 mg	11607
CETRORELIX INJECTION, POWDER, FOR SOLUTION PARENTERAL 3 mg	11626
MESALAZINE SUPPOSITORY RECTAL 1000 mg	11655
SUCCINYLCHOLINE CHLORIDE INJECTION PARENTERAL 50 mg/1mL 10 mL	11866
URSODEOXYCHOLIC ACID TABLET ORAL 300 mg	12036
ISOTRETINOIN CAPSULE ORAL 10 mg	12056
RASBURICASE INJECTION, POWDER, FOR SOLUTION PARENTERAL 1.5 mg	12102
BOSENTAN TABLET ORAL 62.5 mg	12114
MORPHINE SULFATE SUPPOSITORY RECTAL 10 mg	12225
NILOTINIB CAPSULE ORAL 200 mg	12273
OLOPATADINE (AS HYDROCHLORIDE) SOLUTION, DROPS OPHTHALMIC 0.1 % 5 mL	12282
ZOLEDRONIC ACID INJECTION PARENTERAL 4 mg/5mL	12359
INTERFERON BETA-1B INJECTION, POWDER, FOR SOLUTION PARENTERAL 9600000 [iU]	12560
INSULIN GLARGINE INJECTION PARENTERAL 300 [iU]/1mL 1.5 mL	12597
VINORELBINE (AS TARTRATE) CAPSULE, LIQUID FILLED ORAL 20 mg	13254
ISONIAZID / RIFAMPICIN TABLET ORAL 75 mg/150 mg	13323
ETHAMBUTOL / ISONIAZID / PYRAZINAMIDE / RIFAMPICIN TABLET ORAL 275 mg/75 mg/400 mg/150 mg	13345
APREPITANT CAPSULE ORAL 125 mg	13434
APREPITANT CAPSULE ORAL 80 mg	13435
TENOFOVIR DISOPROXIL FUMARATE TABLET ORAL 300 mg	13524
IMIGLUCERASE INJECTION, POWDER, FOR SOLUTION PARENTERAL 400 [iU]	13536
LAMIVUDINE / ZIDOVUDINE TABLET ORAL 150 mg/300 mg	13743
CARBOPLATIN INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 10 mg/1mL 45 mL	13830
RABIES VACCINE INJECTION, POWDER, FOR SUSPENSION PARENTERAL 2.5 [iU] 0.5 mL	14051
PEMETREXED (AS DISODIUM) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 100 mg	14098
PHOSPHATE (ORGANIC) INJECTION PARENTERAL 216 mg/1mL 20 mL	14109
TRACE METAL COMBINATION (3) INJECTION PARENTERAL 521 ug/53.7 ug/3.6 ug/6.66 ug/126 ug/1.31 ug/1mL 10 mL	14111
FLUOROURACIL INJECTION PARENTERAL 50 mg/1mL 10 mL	14528
EPIRUBICIN HYDROCHLORIDE INJECTION, SOLUTION, CONCENTRATE PARENTERAL 2 mg/1mL 25 mL	14532
MENOTROPINS INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 75 [iU]/75 [iU]	804
TRIPTORELIN (AS PAMOATE) INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION, EXTENDED RELEASE PARENTERAL 11.25 mg	14735
PSEUDOEPHEDRINE HYDROCHLORIDE CAPSULE, GELATIN COATED ORAL 30 mg	14758
ABACAVIR (AS SULFATE) TABLET ORAL 300 mg	20003
STREPTOKINASE INJECTION, POWDER, FOR SOLUTION PARENTERAL 1500000 [iU]	15846
FOLLITROPIN ALFA INJECTION PARENTERAL 600 [iU]/1mL 1.5 mL	16068
IOPROMIDE INJECTION PARENTERAL 300 mg/1mL 100 mL	16496
BUDESONIDE / FORMOTEROL FUMARATE POWDER, METERED RESPIRATORY 320 ug/9 ug/1{dose} 60 {dose}	16503
BUDESONIDE / FORMOTEROL FUMARATE POWDER, METERED RESPIRATORY 160 ug/4.5 ug/1{dose} 60 {dose}	16506
EVEROLIMUS TABLET ORAL 5 mg	16682
CALCIUM FOLINATE INJECTION, POWDER, FOR SOLUTION PARENTERAL 100 mg	16766
GADOBUTROL INJECTION PARENTERAL 604.72 mg/1mL 7.5 mL	16792
PROPOFOL INJECTION, EMULSION PARENTERAL 20 mg/1mL 50 mL	16873
BOVINE LUNG SURFACTANT INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION ENDOTRACHEAL 120 mg	11244
FERRIC CARBOXYMALTOSE INJECTION PARENTERAL 50 mg/1mL 10 mL	16954
AMPHOTERICIN B LIPOSOME INJECTION, POWDER, FOR SOLUTION PARENTERAL 50 mg	17094
INSULIN BIPHASIC ISOPHANE INJECTION, SUSPENSION PARENTERAL 75 %/25 % 3 mL	17203
ETHERIFIED STARCH INJECTION, SOLUTION PARENTERAL 6 % 500 mL	17247
BECLOMETHASONE DIPROPIONATE AEROSOL, METERED RESPIRATORY 100 ug/1{dose} 200 {Puff}	17336
ZOLEDRONIC ACID INJECTION, SOLUTION PARENTERAL 5 mg/100mL	17397
URSODEOXYCHOLIC ACID TABLET ORAL 500 mg	17461
OPIUM TINCTURE ORAL 10 mg/1mL 250 mL	17486
IPRATROPIUM BROMIDE / FENOTEROL HYDROBROMIDE AEROSOL, METERED RESPIRATORY 20 ug/50 ug/1{dose} 200 {dose}	17611
OSELTAMIVIR (AS PHOSPHATE) CAPSULE ORAL 30 mg	17745
DOCETAXEL INJECTION, SOLUTION INTRAVENOUS 10 mg/1mL 16 mL	17753
BOTULINUM A TOXIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 300 [iU]	19172
IMMUNE GLOBULIN INJECTION PARENTERAL 100 mg/1mL 25 mL	17770
MAGNESIUM SULFATE INJECTION PARENTERAL 20 % 50 mL	17832
SODIUM BICARBONATE INJECTION PARENTERAL 7.5 % 50 mL	17833
DEFERIPRONE TABLET, DELAYED RELEASE ORAL 500 mg	17853
DIPHTHERIA TOXOID / TETANUS TOXOIDS ADSORBED VACCINE (Td) (ADULT) INJECTION PARENTERAL 10 {dose} 5 mL	17874
VANCOMYCIN (AS HYDROCHLORIDE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g	17886
FINGOLIMOD (AS HYDROCHLORIDE) CAPSULE ORAL 0.5 mg	18099
ETHAMBUTOL / ISONIAZID / RIFAMPICIN TABLET ORAL 275 mg/75 mg/150 mg	18586
ETOPOSIDE INJECTION, SOLUTION INTRAVENOUS 20 mg/1mL 10 mL	18934
OXYCODONE HYDROCHLORIDE TABLET ORAL 15 mg	18964
PERITONEAL DIALYSIS IV ICODEXTRINE BASED SOLUTION INTRAPERITONEAL 7.5 g/100mL 2 L	19051
LEVODOPA / CARBIDOPA / ENTACAPONE TABLET ORAL 100 mg/25 mg/200 mg	19232
TEMOZOLOMIDE CAPSULE ORAL 140 mg	19412
DIPHTHERIA TOXOID / TETANUS TOXOID / PERTUSSIS / HAEMOPHILUS INFLUENZAE TYPE B / HEPATITIS B VACCINE INJECTION, SUSPENSION PARENTERAL 1 {dose} 0.5 mL	19428
DILTIAZEM HYDROCHLORIDE GEL TOPICAL 2 % 30 g	19431
MENINGOCOCCAL VACCINE ACYW-135 INJECTION PARENTERAL 1 {dose} 0.5 mL	21258
OXYCODONE HYDROCHLORIDE TABLET ORAL 30 mg	19781
INSULIN ISOPHANE INJECTION PARENTERAL 100 [iU]/1mL 3 mL	19877
AMINO ACID 10% WITH ELECTROLYTE INJECTION, SOLUTION INTRAVENOUS 5 mg/8.9 mg/8.56 mg/4.4 mg/4.7 mg/4.2 mg/1.6 mg/6.2 mg/11.5 mg/3 mg/10.5 mg/12 mg/5.6 mg/7.2 mg/5.5 mg/2.3 mg/0.4 mg/2.858 mg/0.36 mg/2.453 mg/0.508 mg/3.581 mg/1mL 250 mL	19892
AMINO ACID 5% WITH ELECTROLYTE INJECTION, SOLUTION INTRAVENOUS 2.5 mg/4.45 mg/4.28 mg/2.2 mg/2.35 mg/2.1 mg/0.8 mg/3.1 mg/5.75 mg/1.5 mg/5.25 mg/6 mg/2.8 mg/3.6 mg/2.75 mg/1.15 mg/0.4 mg/1.361 mg/0.964 mg/0.14 mg/2.453 mg/0.508 mg/3.581 mg/1mL 250 mL	19923
EVEROLIMUS TABLET ORAL 0.25 mg	20048
EVEROLIMUS TABLET ORAL 0.5 mg	20049
EVEROLIMUS TABLET ORAL 0.75 mg	20050
AMINO ACID 10% (1) INJECTION, SOLUTION INTRAVENOUS 5 g/7.4 g/9.31 g/4.3 g/5.1 g/4.4 g/2 g/6.2 g/12 g/3 g/14 g/11 g/11.2 g/6.5 g/0.4 g/1 g/1000mL 500 mL	20081
PERITONEAL DIALYSIS I BICARBONATE BASED SOLUTION INTRAPERITONEAL 75.5 mmol/132.5 mmol/1.25 mmol/0.25 mmol/95 mmol/15 mmol/25 mmol/1000 mL 2 L	20194
PERITONEAL DIALYSIS III BICARBONATE BASED SOLUTION INTRAPERITONEAL 235.9 mmol/134 mmol/1.75 mmol/0.5 mmol/104.5 mmol/34.5 mmol/1000 mL 2 L	20206
METHYLPREDNISOLONE (AS SODIUM SUCCINATE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 1000 mg	20627
OXYCODONE HYDROCHLORIDE TABLET, EXTENDED RELEASE ORAL 20 mg	20629
DOBUTAMINE (AS HYDROCHLORIDE) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION INTRAVENOUS 250 mg	466
IBUPROFEN INJECTION PARENTERAL 10 mg/1mL	21029
IBUPROFEN INJECTION PARENTERAL 100 mg/1mL 4 mL	21030
FACTOR VII INJECTION, POWDER, FOR SOLUTION PARENTERAL 600 [iU]	21121
DOCETAXEL INJECTION, SOLUTION INTRAVENOUS 20 mg/1mL 4 mL	21240
SURFACTANT (BOVINE LIPID EXTRACT) INJECTION, SUSPENSION TRANSTRACHEAL 27 mg/1mL 5 mL	21266
GRANISETRON PATCH, EXTENDED RELEASE TRANSDERMAL 34.3 mg/52cm2	21313
TOBRAMYCIN POWDER RESPIRATORY 28 mg	21537
LINEZOLID TABLET ORAL 400 mg	21942
CISPLATIN INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 1 mg/1mL 10 mL	11867
MAGNESIUM SULFATE INJECTION PARENTERAL 50 % 50 mL	22689
METHYLPREDNISOLONE (AS SODIUM SUCCINATE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 250 mg	22820
IMATINIB (AS MESYLATE) TABLET ORAL 400 mg	23155
LIPID INFUSION 20% (2) INJECTION, SOLUTION INTRAVENOUS 5 %/6 %/6 %/3 % 500 mL	50001
ACETAZOLAMIDE INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg	12
ARSENIC TRIOXIDE INJECTION PARENTERAL 0.1 % 10 mL	2079
BUPIVACAINE HYDROCHLORIDE INJECTION PARENTERAL 0.25 % 10 mL	2316
BUPIVACAINE HYDROCHLORIDE INJECTION PARENTERAL 0.5 % 20 mL	2317
BUPIVACAINE HYDROCHLORIDE INJECTION INTRASPINAL 0.5 % 4 mL	1413
BUPROPION HYDROCHLORIDE TABLET ORAL 75 mg	1908
BUSULFAN TABLET ORAL 2 mg	186
CARMUSTINE INJECTION, POWDER, FOR SOLUTION PARENTERAL 100 mg	219
CHLORAMBUCIL TABLET ORAL 2 mg	262
CLINDAMYCIN (AS PALMITATE HYDROCHLORIDE) SUSPENSION ORAL 75 mg/5mL 80 mL	1435
CYTARABINE INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g	1454
DAPSONE TABLET ORAL 100 mg	383
DEFEROXAMINE MESYLATE INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg	386
DIMETHYL SULFOXIDE SOLUTION PARENTERAL 50 % 50 mL	450
DISOPYRAMIDE CAPSULE ORAL 100 mg	50244
EDETATE DISODIUM INJECTION PARENTERAL 150 mg/1mL 1 mL	479
EPOETIN INJECTION PARENTERAL 1000 [iU]/1mL	7814
GANCICLOVIR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 mg	581
GLYCINE SOLUTION IRRIGATION 1.5 % 1000 mL	2238
IMATINIB (AS MESYLATE) CAPSULE ORAL 50 mg	2288
LEVODOPA / CARBIDOPA TABLET ORAL 100 mg/10 mg	747
LINDANE LOTION TOPICAL 1 % 60 mL	577
MEGLUMINE / IOXAGLATE INJECTION PARENTERAL 393 mg/196.5 mg/1mL	50232
MESALAZINE TABLET, EXTENDED RELEASE ORAL 500 mg	2156
METHADONE HYDROCHLORIDE INJECTION PARENTERAL 10 mg/1mL 1 mL	1586
MICONAZOLE NITRATE CREAM VAGINAL 2 % 45 g	850
MITOMYCIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 10 mg	2163
MITOTANE TABLET ORAL 500 mg	858
MIVACURIUM CHLORIDE INJECTION PARENTERAL 2 mg/1mL	50227
NITROFURANTOIN SUSPENSION ORAL 25 mg/5mL 240 mL	11725
RINGER LACTATE INJECTION, SOLUTION INTRAVENOUS 130 meq/3 meq/4 meq/109 meq/28 meq/1L 1000 mL	1106
OCTREOTIDE (AS ACETATE) INJECTION PARENTERAL 200 ug/1mL 1 mL	2393
PAPAVERINE HYDROCHLORIDE INJECTION PARENTERAL 40 mg/1mL 1 mL	948
PHENAZOPYRIDINE HYDROCHLORIDE TABLET ORAL 100 mg	976
PIPERAZINE TABLET ORAL 500 mg	1013
PROSTAGLANDIN E2 INJECTION PARENTERAL 10 mg/1mL 0.5 mL	452
PROTHIONAMIDE TABLET ORAL 125 mg	1656
QUINIDINE SULFATE TABLET ORAL 200 mg	1088
QUININE DIHYDROCHLORIDE INJECTION PARENTERAL 250 mg/1mL 2 mL	1091
RIFAMPICIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 600 mg	1100
SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 2 L	11545
SPIRAMYCIN TABLET ORAL 500 mg	1168
STREPTOKINASE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250000 [iU]	2187
SUCCINYLCHOLINE CHLORIDE INJECTION, POWDER, FOR SOLUTION PARENTERAL 100 mg 10 mL	1176
THIOTHIXENE CAPSULE ORAL 5 mg	1223
IRINOTECAN HYDROCHLORIDE INJECTION, SOLUTION, CONCENTRATE PARENTERAL 20 mg/1mL 5 mL	2090
PEGINTERFERON ALFA-2A INJECTION PARENTERAL 360 ug/1mL 0.5 mL	50202
TRICLABENDAZOLE TABLET ORAL 250 mg	1697
FOLLITROPIN BETA INJECTION, SOLUTION PARENTERAL 75 [iU]/0.5mL	50195
PEGINTERFERON ALFA-2B INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 50 ug	6242
INSULIN ASPART INJECTION, SOLUTION PARENTERAL 100 [iU]/1mL 3 mL	20306
PAMIDRONATE DISODIUM INJECTION PARENTERAL 3 mg/1mL 10 mL	1898
PROSTAGLANDIN E1 (ALPROSTADIL) INJECTION, POWDER, FOR SOLUTION PARENTERAL 20 ug	8777
