نام ژنریک	کد ژنریک
PROSTAGLANDIN E2 TABLET VAGINAL 3 mg	451
DOBUTAMINE (AS HYDROCHLORIDE) INJECTION, SOLUTION INTRAVENOUS 12.5 mg/1mL 20 mL	20686
DOPAMINE HYDROCHLORIDE INJECTION PARENTERAL 40 mg/1mL 5 mL	468
DYDROGESTERONE TABLET ORAL 5 mg	475
EPIRUBICIN HYDROCHLORIDE INJECTION, POWDER, FOR SOLUTION PARENTERAL 10 mg	491
EPIRUBICIN HYDROCHLORIDE INJECTION, POWDER, FOR SOLUTION PARENTERAL 50 mg	492
ERGOTAMINE TARTRATE / CAFFEINE TABLET ORAL 1 mg/100 mg	493
EPOETIN INJECTION PARENTERAL 2000 [iU]/1mL	501
ESTRADIOL VALERATE INJECTION PARENTERAL 10 mg/1mL	502
ESTRAMUSTINE SODIUM PHOSPHATE CAPSULE ORAL 140 mg	505
ETHAMBUTOL HYDROCHLORIDE TABLET ORAL 400 mg	508
ETHOSUXIMIDE SYRUP ORAL 250 mg/5mL 240 mL	513
ETHOSUXIMIDE CAPSULE ORAL 250 mg	514
ETOPOSIDE CAPSULE ORAL 100 mg	517
ETOPOSIDE CAPSULE ORAL 50 mg	520
FIBRINOGEN INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g	532
FILGRASTIM INJECTION PARENTERAL 300 ug/1mL	534
FLECAINIDE ACETATE TABLET ORAL 100 mg	536
FLUDARABINE PHOSPHATE INJECTION, POWDER, FOR SOLUTION INTRAVENOUS 50 mg	542
FLUMAZENIL INJECTION PARENTERAL 0.1 mg/1mL 5 mL	544
FLUTAMIDE TABLET ORAL 250 mg	560
FURAZOLIDONE SUSPENSION ORAL 50 mg/15mL 120 mL	569
GADOPENTETATE DIMEGLUMINE INJECTION PARENTERAL 469 mg/1mL 15 mL	575
HALOPERIDOL (AS LACTATE) INJECTION PARENTERAL 5 mg/1mL	620
HEPARIN SODIUM INJECTION PARENTERAL 5000 [iU]/1mL 1 mL	624
HEPARIN SODIUM INJECTION PARENTERAL 10000 [iU]/1mL 1 mL	625
HYDROCORTISONE ENEMA RECTAL 100 mg/60mL	641
HYDROXYUREA CAPSULE ORAL 500 mg	648
IFOSFAMIDE INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g	662
INFLUENZA VACCINE, INACTIVATED, TRIVALENT INJECTION PARENTERAL 1 {dose}	5966
INSULIN BIPHASIC ISOPHANE INJECTION PARENTERAL 70 %/30 % 3 mL	18649
INSULIN REGULAR INJECTION PARENTERAL 100 [iU]/1mL 3 mL	19875
INTERFERON ALFA-2B INJECTION PARENTERAL 5000000 U	682
INTERFERON GAMMA-1B INJECTION, SOLUTION PARENTERAL 100 ug/0.5mL	686
PERITONEAL DIALYSIS I SOLUTION INTRAPERITONEAL 13.62 g/132 meq/3.5 meq/1.5 meq/35 meq/102 meq/1000 mL 2 L	690
PERITONEAL DIALYSIS III SOLUTION INTRAPERITONEAL 38.6 g/5.67 g/0.257 g/0.152 g/3.922 g/1000 mL 2 L	694
IOHEXOL INJECTION PARENTERAL 240 mg/1mL 10 mL	18546
IOHEXOL INJECTION PARENTERAL 300 mg/1mL 10 mL	700
IPRATROPIUM BROMIDE SPRAY RESPIRATORY 20 ug/1{dose} 200 {dose}	708
IPRATROPIUM BROMIDE SOLUTION RESPIRATORY 250 ug/1mL 2 mL	19859
ISONIAZID TABLET ORAL 100 mg	712
ISONIAZID TABLET ORAL 300 mg	713
ISOTRETINOIN CAPSULE, LIQUID FILLED ORAL 20 mg	720
KETAMINE (AS HYDROCHLORIDE) INJECTION PARENTERAL 50 mg/1mL 10 mL	723
LACTULOSE SYRUP ORAL 10 g/15mL 240 mL	731
CALCIUM FOLINATE INJECTION, POWDER, FOR SOLUTION PARENTERAL 30 mg	2382
CALCIUM FOLINATE TABLET ORAL 15 mg	738
L-CARNITINE INJECTION PARENTERAL 200 mg/1mL 5 mL	743
LEVODOPA / BENSERAZIDE TABLET ORAL 100 mg/25 mg	745
LEVODOPA / BENSERAZIDE TABLET ORAL 200 mg/50 mg	746
LEVODOPA / CARBIDOPA FORTE TABLET ORAL 250 mg/25 mg	748
LIDOCAINE HYDROCHLORIDE INJECTION PARENTERAL 1 % 50 mL	755
LIDOCAINE HYDROCHLORIDE GEL TOPICAL 2 % 15 g	756
LIOTHYRONINE SODIUM TABLET ORAL 25 ug	763
LOMUSTINE CAPSULE ORAL 40 mg	769
MAGNESIUM SULFATE INJECTION PARENTERAL 10 % 10 mL	17831
MANNITOL INJECTION, SOLUTION INTRAVENOUS 10 % 500 mL	781
